MESE,ANNO,PARTENZA,COD ISTAT REGIONE DI PARTENZA,ARRIVO,COD ISTAT REGIONE DI ARRIVO,TOTALE
10,2022,CAMPANIA,15,UMBRIA,10,5
10,2022,CAMPANIA,15,EMILIA ROMAGNA,08,37
10,2022,PUGLIA,16,PUGLIA,16,661
10,2022,PUGLIA,16,MOLISE,14,1
10,2022,PUGLIA,16,UMBRIA,10,4
10,2022,PUGLIA,16,TOSCANA,09,8
10,2022,BASILICATA,17,BASILICATA,17,123
10,2022,BASILICATA,17,TOSCANA,09,5
10,2022,BASILICATA,17,FRIULI VENEZIA GIULIA,06,1
10,2022,BASILICATA,17,LOMBARDIA,03,1
10,2022,CALABRIA,18,SICILIA,19,5
10,2022,CALABRIA,18,CAMPANIA,15,1
10,2022,CALABRIA,18,PIEMONTE,01,4
10,2022,SICILIA,19,TOSCANA,09,19
10,2022,SICILIA,19,LIGURIA,07,4
10,2022,SICILIA,19,FRIULI VENEZIA GIULIA,06,1
