APR,AIRE,REGIONE,STATO_ESTERO,DATA_ESTRAZIONE
0,1,"ABRUZZO","IGNOTO","10-08-2022 12:30:02"
0,37,"LAZIO","ISOLE FALKLAND","10-08-2022 12:30:02"
0,113,"EMILIA ROMAGNA","ARGENTINA","10-08-2022 12:30:02"
0,1,"FRIULI VENEZIA GIULIA","SVIZZERA","10-08-2022 12:30:02"
0,5,"EMILIA ROMAGNA","BARBADOS","10-08-2022 12:30:02"
0,2,"EMILIA ROMAGNA","KAZAKHSTAN","10-08-2022 12:30:02"
0,9,"EMILIA ROMAGNA","ARMENIA","10-08-2022 12:30:02"
0,4,"EMILIA ROMAGNA","ISRAELE","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","GIORDANIA","10-08-2022 12:30:02"
0,1,"LAZIO","SVIZZERA","10-08-2022 12:30:02"
0,4,"EMILIA ROMAGNA","GRECIA","10-08-2022 12:30:02"
0,1,"LAZIO","PORTOGALLO","10-08-2022 12:30:02"
0,4,"LAZIO","ARGENTINA","10-08-2022 12:30:02"
0,3,"SICILIA","IGNOTO","10-08-2022 12:30:02"
0,4,"SICILIA","ARGENTINA","10-08-2022 12:30:02"
0,1,"CAMPANIA","AUSTRIA","10-08-2022 12:30:02"
0,3,"CAMPANIA","AFGHANISTAN","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","NEPAL","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","ISOLE VERGINI BRITANNICHE","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","ANGUILLA","10-08-2022 12:30:02"
0,564,"LOMBARDIA","SVIZZERA","10-08-2022 12:30:02"
0,256,"LOMBARDIA","ARGENTINA","10-08-2022 12:30:02"
0,22,"LOMBARDIA","IRLANDA","10-08-2022 12:30:02"
0,104,"LOMBARDIA","GRECIA","10-08-2022 12:30:02"
0,12,"LOMBARDIA","BULGARIA","10-08-2022 12:30:02"
0,44,"LOMBARDIA","COLOMBIA","10-08-2022 12:30:02"
0,156,"LOMBARDIA","PAESI BASSI","10-08-2022 12:30:02"
0,12,"LOMBARDIA","INDIA","10-08-2022 12:30:02"
0,10,"LOMBARDIA","GUATEMALA","10-08-2022 12:30:02"
0,2,"LOMBARDIA","ANGOLA","10-08-2022 12:30:02"
0,4,"LOMBARDIA","LITUANIA","10-08-2022 12:30:02"
0,2,"LOMBARDIA","COSTA D'AVORIO","10-08-2022 12:30:02"
0,6,"LOMBARDIA","QATAR","10-08-2022 12:30:02"
0,36,"LOMBARDIA","SUD AFRICA","10-08-2022 12:30:02"
0,4,"LOMBARDIA","FEDERAZIONE RUSSA","10-08-2022 12:30:02"
0,2,"LOMBARDIA","SUD SUDAN","10-08-2022 12:30:02"
0,2,"LOMBARDIA","VIETNAM","10-08-2022 12:30:02"
0,6,"LOMBARDIA","SENEGAL","10-08-2022 12:30:02"
0,12,"LOMBARDIA","ARABIA SAUDITA","10-08-2022 12:30:02"
0,4,"LOMBARDIA","UNGHERIA","10-08-2022 12:30:02"
0,2,"LOMBARDIA","INDONESIA","10-08-2022 12:30:02"
0,228,"EMILIA ROMAGNA","FRANCIA","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","HAITI","10-08-2022 12:30:02"
0,2,"LAZIO","MAYOTTE","10-08-2022 12:30:02"
0,17,"EMILIA ROMAGNA","BRASILE","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","GIAMAICA","10-08-2022 12:30:02"
0,1,"VENETO","STATI UNITI D'AMERICA","10-08-2022 12:30:02"
0,24,"EMILIA ROMAGNA","FINLANDIA","10-08-2022 12:30:02"
0,6,"EMILIA ROMAGNA","STATI UNITI D'AMERICA","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","SUD AFRICA","10-08-2022 12:30:02"
0,4,"LAZIO","STATI UNITI D'AMERICA","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","NIUE","10-08-2022 12:30:02"
0,2,"SICILIA","STATI UNITI D'AMERICA","10-08-2022 12:30:02"
0,2,"EMILIA ROMAGNA","RIUNIONE","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","GEORGIA","10-08-2022 12:30:02"
0,9,"EMILIA ROMAGNA","BOLIVIA","10-08-2022 12:30:02"
0,1,"PIEMONTE","SPAGNA","10-08-2022 12:30:02"
0,4,"EMILIA ROMAGNA","COLOMBIA","10-08-2022 12:30:02"
0,3,"TRENTINO ALTO ADIGE","ARGENTINA","10-08-2022 12:30:02"
0,2,"EMILIA ROMAGNA","MALTA","10-08-2022 12:30:02"
0,2,"CAMPANIA","ARMENIA","10-08-2022 12:30:02"
0,2,"LAZIO","ARMENIA","10-08-2022 12:30:02"
0,5,"EMILIA ROMAGNA","SOMALIA","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","PARAGUAY","10-08-2022 12:30:02"
0,5,"PIEMONTE","SVIZZERA","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","VIETNAM","10-08-2022 12:30:02"
0,1,"LAZIO","SPAGNA","10-08-2022 12:30:02"
0,84,"LOMBARDIA","TURCHIA","10-08-2022 12:30:02"
0,38,"LOMBARDIA","NORVEGIA","10-08-2022 12:30:02"
0,4,"LOMBARDIA","CUBA","10-08-2022 12:30:02"
0,32,"LOMBARDIA","PORTOGALLO","10-08-2022 12:30:02"
0,2,"LOMBARDIA","SAN MARINO","10-08-2022 12:30:02"
0,10,"LOMBARDIA","ALBANIA","10-08-2022 12:30:02"
0,12,"LOMBARDIA","TERRITORI DELL'AUTONOMIA PALESTINESE","10-08-2022 12:30:02"
0,6,"LOMBARDIA","LIBIA","10-08-2022 12:30:02"
0,2,"LOMBARDIA","PAKISTAN","10-08-2022 12:30:02"
0,8,"LOMBARDIA","PANAMA","10-08-2022 12:30:02"
0,4,"LOMBARDIA","LIBANO","10-08-2022 12:30:02"
0,52,"EMILIA ROMAGNA","ANTIGUA E BARBUDA","10-08-2022 12:30:02"
0,5,"LAZIO","IGNOTO","10-08-2022 12:30:02"
0,16,"FRIULI VENEZIA GIULIA","AUSTRIA","10-08-2022 12:30:02"
0,36,"LAZIO","REGNO UNITO","10-08-2022 12:30:02"
0,14,"EMILIA ROMAGNA","ARABIA SAUDITA","10-08-2022 12:30:02"
0,2,"LAZIO","GIBILTERRA","10-08-2022 12:30:02"
0,3,"TOSCANA","ISOLE FALKLAND","10-08-2022 12:30:02"
0,12,"EMILIA ROMAGNA","MONGOLIA","10-08-2022 12:30:02"
0,2,"EMILIA ROMAGNA","DANIMARCA","10-08-2022 12:30:02"
0,4,"EMILIA ROMAGNA","BOSNIA-ERZEGOVINA","10-08-2022 12:30:02"
0,3,"LIGURIA","REPUBBLICA POPOLARE CINESE","10-08-2022 12:30:02"
0,6,"EMILIA ROMAGNA","LUSSEMBURGO","10-08-2022 12:30:02"
0,12,"EMILIA ROMAGNA","REPUBBLICA POPOLARE CINESE","10-08-2022 12:30:02"
0,2,"EMILIA ROMAGNA","BANGLADESH","10-08-2022 12:30:02"
0,1,"CAMPANIA","IGNOTO","10-08-2022 12:30:02"
0,1,"PIEMONTE","CANADA","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","BIELORUSSIA","10-08-2022 12:30:02"
0,2,"EMILIA ROMAGNA","KENYA","10-08-2022 12:30:02"
0,2,"EMILIA ROMAGNA","OMAN","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","ISLANDA","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","IRLANDA","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","CUBA","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","BELIZE","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","STATI FEDERATI DI MICRONESIA","10-08-2022 12:30:02"
